"","NameUsed","Institution","Pub.Outlet","InstitutionPrestige","Gender","Race"
"1","Jermaine Jackson","Harvard University","Applied Mathematics","High","Male","Black"
"2","Jermaine Jackson","Stanford University","Applied Mathematics","High","Male","Black"
"3","Darnell Dawkins","Harvard University","Applied Mathematics","High","Male","Black"
"4","Darnell Dawkins","Stanford University","Applied Mathematics","High","Male","Black"
"5","Cara O'Connor","Harvard University","Applied Mathematics","High","Female","White"
"6","Cara O'Connor","Stanford University","Applied Mathematics","High","Female","White"
"7","Cara O'Connor","Bridgewater State University","Applied Mathematics","Low","Female","White"
"8","Cara O'Connor","California State University, Stanislaus","Applied Mathematics","Low","Female","White"
"9","Allison Baker","Harvard University","Applied Mathematics","High","Female","White"
"10","Allison Baker","Stanford University","Applied Mathematics","High","Female","White"
"11","Allison Baker","Bridgewater State University","Applied Mathematics","Low","Female","White"
"12","Allison Baker","California State University, Stanislaus","Applied Mathematics","Low","Female","White"
"13","Meredith Rogers","Harvard University","Applied Mathematics","High","Female","White"
"14","Meredith Rogers","Stanford University","Applied Mathematics","High","Female","White"
"15","Meredith Rogers","Bridgewater State University","Applied Mathematics","Low","Female","White"
"16","Meredith Rogers","California State University, Stanislaus","Applied Mathematics","Low","Female","White"
"17","Liu Xiaohong","Harvard University","Applied Mathematics","High","Female","Asian"
"18","Liu Xiaohong","Stanford University","Applied Mathematics","High","Female","Asian"
"19","Darnell Dawkins","Bridgewater State University","Applied Mathematics","Low","Male","Black"
"20","Liu Xiaohong","Bridgewater State University","Applied Mathematics","Low","Female","Asian"
"21","Liu Xiaohong","California State University, Stanislaus","Applied Mathematics","Low","Female","Asian"
"22","Chen Meili","Harvard University","Applied Mathematics","High","Female","Asian"
"23","Chen Meili","Stanford University","Applied Mathematics","High","Female","Asian"
"24","Chen Meili","Bridgewater State University","Applied Mathematics","Low","Female","Asian"
"25","Chen Meili","California State University, Stanislaus","Applied Mathematics","Low","Female","Asian"
"26","Priya Kumar","Harvard University","Applied Mathematics","High","Female","Asian"
"27","Priya Kumar","Stanford University","Applied Mathematics","High","Female","Asian"
"28","Priya Kumar","Bridgewater State University","Applied Mathematics","Low","Female","Asian"
"29","Priya Kumar","California State University, Stanislaus","Applied Mathematics","Low","Female","Asian"
"30","Anjali Gupta","Harvard University","Applied Mathematics","High","Female","Asian"
"31","Anjali Gupta","Stanford University","Applied Mathematics","High","Female","Asian"
"32","Anjali Gupta","Bridgewater State University","Applied Mathematics","Low","Female","Asian"
"33","Darnell Dawkins","California State University, Stanislaus","Applied Mathematics","Low","Male","Black"
"34","Anjali Gupta","California State University, Stanislaus","Applied Mathematics","Low","Female","Asian"
"35","Jermaine Jackson","Harvard University","Engineering","High","Male","Black"
"36","Jermaine Jackson","Stanford University","Engineering","High","Male","Black"
"37","Jermaine Jackson","Bridgewater State University","Engineering","Low","Male","Black"
"38","Jermaine Jackson","California State University, Stanislaus","Engineering","Low","Male","Black"
"39","Denzel Gaines","Harvard University","Engineering","High","Male","Black"
"40","Denzel Gaines","Stanford University","Engineering","High","Male","Black"
"41","Denzel Gaines","Bridgewater State University","Engineering","Low","Male","Black"
"42","Denzel Gaines","California State University, Stanislaus","Engineering","Low","Male","Black"
"43","Darius Mosby","Harvard University","Engineering","High","Male","Black"
"44","Darius Mosby","Stanford University","Engineering","High","Male","Black"
"45","Darius Mosby","Bridgewater State University","Engineering","Low","Male","Black"
"46","Darius Mosby","California State University, Stanislaus","Engineering","Low","Male","Black"
"47","Miguel Fernandez","Harvard University","Applied Mathematics","High","Male","Hispanic"
"48","Miguel Fernandez","Stanford University","Applied Mathematics","High","Male","Hispanic"
"49","Darnell Dawkins","Harvard University","Engineering","High","Male","Black"
"50","Darnell Dawkins","Stanford University","Engineering","High","Male","Black"
"51","Darnell Dawkins","Bridgewater State University","Engineering","Low","Male","Black"
"52","Darnell Dawkins","California State University, Stanislaus","Engineering","Low","Male","Black"
"53","Miguel Fernandez","Harvard University","Engineering","High","Male","Hispanic"
"54","Miguel Fernandez","Stanford University","Engineering","High","Male","Hispanic"
"55","Miguel Fernandez","Bridgewater State University","Engineering","Low","Male","Hispanic"
"56","Miguel Fernandez","California State University, Stanislaus","Engineering","Low","Male","Hispanic"
"57","Christian Hernandez","Harvard University","Engineering","High","Male","Hispanic"
"58","Christian Hernandez","Stanford University","Engineering","High","Male","Hispanic"
"59","Christian Hernandez","Bridgewater State University","Engineering","Low","Male","Hispanic"
"60","Christian Hernandez","California State University, Stanislaus","Engineering","Low","Male","Hispanic"
"61","Joe Alvarez","Harvard University","Engineering","High","Male","Hispanic"
"62","Joe Alvarez","Stanford University","Engineering","High","Male","Hispanic"
"63","Miguel Fernandez","Bridgewater State University","Applied Mathematics","Low","Male","Hispanic"
"64","Joe Alvarez","Bridgewater State University","Engineering","Low","Male","Hispanic"
"65","Joe Alvarez","California State University, Stanislaus","Engineering","Low","Male","Hispanic"
"66","Rodrigo Romero","Harvard University","Engineering","High","Male","Hispanic"
"67","Rodrigo Romero","Stanford University","Engineering","High","Male","Hispanic"
"68","Rodrigo Romero","Bridgewater State University","Engineering","Low","Male","Hispanic"
"69","Rodrigo Romero","California State University, Stanislaus","Engineering","Low","Male","Hispanic"
"70","George Yang","Harvard University","Engineering","High","Male","Asian"
"71","George Yang","Stanford University","Engineering","High","Male","Asian"
"72","George Yang","Bridgewater State University","Engineering","Low","Male","Asian"
"73","George Yang","California State University, Stanislaus","Engineering","Low","Male","Asian"
"74","Harry Wu","Harvard University","Engineering","High","Male","Asian"
"75","Harry Wu","Stanford University","Engineering","High","Male","Asian"
"76","Harry Wu","Bridgewater State University","Engineering","Low","Male","Asian"
"77","Miguel Fernandez","California State University, Stanislaus","Applied Mathematics","Low","Male","Hispanic"
"78","Harry Wu","California State University, Stanislaus","Engineering","Low","Male","Asian"
"79","Pheng Chan","Harvard University","Engineering","High","Male","Asian"
"80","Pheng Chan","Stanford University","Engineering","High","Male","Asian"
"81","Pheng Chan","Bridgewater State University","Engineering","Low","Male","Asian"
"82","Pheng Chan","California State University, Stanislaus","Engineering","Low","Male","Asian"
"83","Kenji Yoshida","Harvard University","Engineering","High","Male","Asian"
"84","Kenji Yoshida","Stanford University","Engineering","High","Male","Asian"
"85","Kenji Yoshida","Bridgewater State University","Engineering","Low","Male","Asian"
"86","Kenji Yoshida","California State University, Stanislaus","Engineering","Low","Male","Asian"
"87","Gregory Roberts","Harvard University","Engineering","High","Male","White"
"88","Gregory Roberts","Stanford University","Engineering","High","Male","White"
"89","Gregory Roberts","Bridgewater State University","Engineering","Low","Male","White"
"90","Gregory Roberts","California State University, Stanislaus","Engineering","Low","Male","White"
"91","Christian Hernandez","Harvard University","Applied Mathematics","High","Male","Hispanic"
"92","Christian Hernandez","Stanford University","Applied Mathematics","High","Male","Hispanic"
"93","Matthew Owens","Harvard University","Engineering","High","Male","White"
"94","Matthew Owens","Stanford University","Engineering","High","Male","White"
"95","Matthew Owens","Bridgewater State University","Engineering","Low","Male","White"
"96","Matthew Owens","California State University, Stanislaus","Engineering","Low","Male","White"
"97","Paul Bennett","Harvard University","Engineering","High","Male","White"
"98","Paul Bennett","Stanford University","Engineering","High","Male","White"
"99","Paul Bennett","Bridgewater State University","Engineering","Low","Male","White"
"100","Paul Bennett","California State University, Stanislaus","Engineering","Low","Male","White"
"101","Chad Nichols","Harvard University","Engineering","High","Male","White"
"102","Chad Nichols","Stanford University","Engineering","High","Male","White"
"103","Chad Nichols","Bridgewater State University","Engineering","Low","Male","White"
"104","Chad Nichols","California State University, Stanislaus","Engineering","Low","Male","White"
"105","Li Weihao","Harvard University","Engineering","High","Male","Asian"
"106","Li Weihao","Stanford University","Engineering","High","Male","Asian"
"107","Christian Hernandez","Bridgewater State University","Applied Mathematics","Low","Male","Hispanic"
"108","Li Weihao","Bridgewater State University","Engineering","Low","Male","Asian"
"109","Li Weihao","California State University, Stanislaus","Engineering","Low","Male","Asian"
"110","Wang Gangwei","Harvard University","Engineering","High","Male","Asian"
"111","Wang Gangwei","Stanford University","Engineering","High","Male","Asian"
"112","Wang Gangwei","Bridgewater State University","Engineering","Low","Male","Asian"
"113","Wang Gangwei","California State University, Stanislaus","Engineering","Low","Male","Asian"
"114","Rahul Sharma","Harvard University","Engineering","High","Male","Asian"
"115","Rahul Sharma","Stanford University","Engineering","High","Male","Asian"
"116","Rahul Sharma","Bridgewater State University","Engineering","Low","Male","Asian"
"117","Rahul Sharma","California State University, Stanislaus","Engineering","Low","Male","Asian"
"118","Amit Patel","Harvard University","Engineering","High","Male","Asian"
"119","Amit Patel","Stanford University","Engineering","High","Male","Asian"
"120","Amit Patel","Bridgewater State University","Engineering","Low","Male","Asian"
"121","Christian Hernandez","California State University, Stanislaus","Applied Mathematics","Low","Male","Hispanic"
"122","Amit Patel","California State University, Stanislaus","Engineering","Low","Male","Asian"
"123","Keisha Towns","Harvard University","Engineering","High","Female","Black"
"124","Keisha Towns","Stanford University","Engineering","High","Female","Black"
"125","Keisha Towns","Bridgewater State University","Engineering","Low","Female","Black"
"126","Keisha Towns","California State University, Stanislaus","Engineering","Low","Female","Black"
